# Stage T vehicle capture from COM7
# Started: 2026-04-18 23:10:40
1776571840.764030 
1776571840.764039 ==============================================
1776571840.764042   RocketChip v0.16.0  RCOS v0.5.0  bench-16c53e6
1776571840.764043   Board: Adafruit Feather RP2350 HSTX
1776571840.764044   Profile: Rocket  Uptime: 359s
1776571865.187916 [STAGE_T] state RXW->TX t=384257401
1776571865.187920 [STAGE_T] state RXW->TX t=384257765
1776571865.296556 [STAGE_T] state TX->RXW t=384357493
1776571865.403492 [STAGE_T] state RXW->TX t=384457415
1776571865.403497 [STAGE_T] state RXW->TX t=384457802
1776571865.511424 [STAGE_T] state TX->RXW t=384557498
1776571865.619043 [STAGE_T] state RXW->TX t=384657417
1776571865.619047 [STAGE_T] state RXW->TX t=384657760
1776571865.726032 [STAGE_T] state TX->RXW t=384757500
1776571865.833426 [STAGE_T] state RXW->TX t=384857410
1776571865.833431 [STAGE_T] state RXW->TX t=384857806
1776571865.941127 [STAGE_T] state TX->RXW t=384957488
1776571866.049079 [STAGE_T] state RXW->TX t=385057419
1776571866.049084 [STAGE_T] state RXW->TX t=385057779
1776571866.049086 [STAGE_T] state TX->RXW t=385157499
1776571866.157269 [STAGE_T] state RXW->TX t=385257412
1776571866.157273 [STAGE_T] state RXW->TX t=385257783
1776571866.265917 [STAGE_T] state TX->RXW t=385357493
1776571866.373734 [STAGE_T] state RXW->TX t=385457417
1776571866.373746 [STAGE_T] state RXW->TX t=385457803
1776571866.481976 [STAGE_T] state TX->RXW t=385557500
1776571866.698169 [STAGE_T] state RXW->TX t=385757417
1776571866.698174 [STAGE_T] state RXW->TX t=385757761
1776571866.805893 [STAGE_T] state TX->RXW t=385857485
1776571867.021611 [STAGE_T] state RXW->TX t=386057411
1776571867.021617 [STAGE_T] state RXW->TX t=386057836
1776571867.129483 [STAGE_T] state TX->RXW t=386157489
1776571867.237484 [STAGE_T] state RXW->TX t=386257418
1776571867.237488 [STAGE_T] state RXW->TX t=386257772
1776571867.345450 [STAGE_T] state TX->RXW t=386357501
1776571867.345455 [STAGE_T] state RXW->TX t=386459848
1776571867.345456 [STAGE_T] state RXW->TX t=386460239
1776571867.453953 [STAGE_T] state TX->RXW t=386557499
1776571867.670012 [STAGE_T] state RXW->TX t=386757420
1776571867.670020 [STAGE_T] state RXW->TX t=386757792
